Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.jfree.data.xy.XYSeries,527,0.894427,6.7,RED
2,org.jfree.data.xy.XYSeries,564,0.779194,13.3,RED
3,org.jfree.data.xy.XYSeries,570,0.726038,20.0,ORANGE
3,org.jfree.data.xy.XYSeries,563,0.726038,20.0,ORANGE
4,org.jfree.data.xy.XYSeries,575,0.657422,26.7,ORANGE
4,org.jfree.data.xy.XYSeries,574,0.657422,26.7,ORANGE
4,org.jfree.data.xy.XYSeries,548,0.657422,26.7,ORANGE
4,org.jfree.data.xy.XYSeries,547,0.657422,26.7,ORANGE
4,org.jfree.data.xy.XYSeries,546,0.657422,26.7,ORANGE
4,org.jfree.data.xy.XYSeries,541,0.657422,26.7,ORANGE
5,org.jfree.data.xy.XYSeries,590,0.459447,33.3,YELLOW
6,org.jfree.data.xy.XYDataItem,191,0.411556,40.0,YELLOW
7,org.jfree.data.xy.XYSeries,589,0.346608,46.7,YELLOW
8,org.jfree.data.xy.XYDataItem,203,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,194,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,187,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,183,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,182,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,181,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,180,0.189267,53.3,YELLOW
8,org.jfree.data.xy.XYDataItem,179,0.189267,53.3,YELLOW
9,org.jfree.data.xy.XYDataItem,96,0.173246,60.0,GREEN
10,org.jfree.data.xy.XYDataItem,77,0.166248,66.7,GREEN
10,org.jfree.data.xy.XYDataItem,76,0.166248,66.7,GREEN
10,org.jfree.data.xy.XYDataItem,78,0.166248,66.7,GREEN
10,org.jfree.data.xy.XYDataItem,73,0.166248,66.7,GREEN
