Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.apache.commons.cli.Parser,313,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,312,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,311,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,310,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,319,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,317,0.840436,1.8,RED
1,org.apache.commons.cli.Parser,322,0.840436,1.8,RED
1,org.apache.commons.cli.MissingOptionException,36,0.840436,1.8,RED
1,org.apache.commons.cli.MissingOptionException,37,0.840436,1.8,RED
2,org.apache.commons.cli.Options,163,0.717341,3.6,RED
2,org.apache.commons.cli.Options,160,0.717341,3.6,RED
3,org.apache.commons.cli.OptionBuilder,144,0.678918,5.5,RED
3,org.apache.commons.cli.OptionBuilder,146,0.678918,5.5,RED
4,org.apache.commons.cli.ParseException,36,0.630392,7.3,RED
4,org.apache.commons.cli.ParseException,35,0.630392,7.3,RED
5,org.apache.commons.cli.OptionBuilder,82,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,81,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,80,0.330533,9.1,RED
5,org.apache.commons.cli.Option,366,0.330533,9.1,RED
5,org.apache.commons.cli.Option,365,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,72,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,71,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,74,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,73,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,76,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,75,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,354,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,358,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,359,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,363,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,364,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,361,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,362,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,368,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,360,0.330533,9.1,RED
5,org.apache.commons.cli.OptionBuilder,371,0.330533,9.1,RED
5,org.apache.commons.cli.Option,202,0.330533,9.1,RED
5,org.apache.commons.cli.Option,203,0.330533,9.1,RED
5,org.apache.commons.cli.Option,223,0.330533,9.1,RED
5,org.apache.commons.cli.Option,222,0.330533,9.1,RED
6,org.apache.commons.cli.Option,234,0.327097,10.9,RED
6,org.apache.commons.cli.Option,233,0.327097,10.9,RED
7,org.apache.commons.cli.Option,355,0.324752,12.7,ORANGE
7,org.apache.commons.cli.Option,354,0.324752,12.7,ORANGE
8,org.apache.commons.cli.Option,94,0.322808,14.5,ORANGE
8,org.apache.commons.cli.Option,93,0.322808,14.5,ORANGE
9,org.apache.commons.cli.Option,311,0.318539,16.4,ORANGE
9,org.apache.commons.cli.Option,312,0.318539,16.4,ORANGE
10,org.apache.commons.cli.OptionBuilder,104,0.304507,18.2,ORANGE
