Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.apache.commons.csv.CSVFormat,863,0.408745,3.1,RED
2,org.apache.commons.csv.CSVFormat,1190,0.253595,6.3,RED
3,org.apache.commons.csv.CSVFormat,1256,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1255,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1254,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1251,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1250,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1241,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1240,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1239,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1235,0.120401,9.4,RED
3,org.apache.commons.csv.CSVFormat,1228,0.120401,9.4,RED
4,org.apache.commons.csv.CSVFormat,1221,0.100184,12.5,RED
4,org.apache.commons.csv.CSVFormat,1220,0.100184,12.5,RED
5,org.apache.commons.csv.CSVFormat,1211,0.099091,15.6,ORANGE
5,org.apache.commons.csv.CSVFormat,1208,0.099091,15.6,ORANGE
5,org.apache.commons.csv.CSVFormat,1207,0.099091,15.6,ORANGE
6,org.apache.commons.csv.CSVFormat,1163,0.096808,18.8,ORANGE
7,org.apache.commons.csv.CSVFormat,1206,0.096742,21.9,ORANGE
7,org.apache.commons.csv.CSVFormat,1203,0.096742,21.9,ORANGE
7,org.apache.commons.csv.CSVFormat,1199,0.096742,21.9,ORANGE
7,org.apache.commons.csv.CSVFormat,1198,0.096742,21.9,ORANGE
7,org.apache.commons.csv.CSVFormat,1197,0.096742,21.9,ORANGE
8,org.apache.commons.csv.CSVFormat,1191,0.096138,25.0,ORANGE
9,org.apache.commons.csv.CSVFormat,1218,0.095397,28.1,YELLOW
9,org.apache.commons.csv.CSVFormat,1178,0.095397,28.1,YELLOW
9,org.apache.commons.csv.CSVFormat,1189,0.095397,28.1,YELLOW
9,org.apache.commons.csv.CSVFormat,1187,0.095397,28.1,YELLOW
10,org.apache.commons.csv.CSVFormat,1298,0.091749,31.3,YELLOW
10,org.apache.commons.csv.CSVFormat,1297,0.091749,31.3,YELLOW
10,org.apache.commons.csv.CSVFormat,1295,0.091749,31.3,YELLOW
10,org.apache.commons.csv.CSVPrinter,233,0.091749,31.3,YELLOW
10,org.apache.commons.csv.CSVPrinter,232,0.091749,31.3,YELLOW
10,org.apache.commons.csv.CSVPrinter,231,0.091749,31.3,YELLOW
11,org.apache.commons.csv.CSVFormat,1294,0.090546,34.4,YELLOW
12,org.apache.commons.csv.CSVFormat,1272,0.087319,37.5,YELLOW
13,org.apache.commons.csv.CSVFormat,1274,0.086988,40.6,YELLOW
13,org.apache.commons.csv.CSVFormat,1271,0.086988,40.6,YELLOW
13,org.apache.commons.csv.CSVFormat,1268,0.086988,40.6,YELLOW
14,org.apache.commons.csv.CSVFormat,1099,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1165,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1162,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1161,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1156,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1155,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1154,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1159,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1158,0.085176,43.8,YELLOW
14,org.apache.commons.csv.CSVFormat,1153,0.085176,43.8,YELLOW
15,org.apache.commons.csv.CSVFormat,1093,0.083186,46.9,YELLOW
16,org.apache.commons.csv.CSVPrinter,102,0.081366,50.0,YELLOW
17,org.apache.commons.csv.CSVPrinter,104,0.080271,53.1,GREEN
17,org.apache.commons.csv.CSVPrinter,101,0.080271,53.1,GREEN
17,org.apache.commons.csv.CSVPrinter,96,0.080271,53.1,GREEN
17,org.apache.commons.csv.CSVPrinter,84,0.080271,53.1,GREEN
17,org.apache.commons.csv.CSVPrinter,85,0.080271,53.1,GREEN
17,org.apache.commons.csv.CSVFormat,901,0.080271,53.1,GREEN
18,org.apache.commons.csv.CSVFormat,1097,0.078352,56.3,GREEN
18,org.apache.commons.csv.CSVFormat,1084,0.078352,56.3,GREEN
19,org.apache.commons.csv.CSVFormat,854,0.077909,59.4,GREEN
20,org.apache.commons.csv.CSVFormat,1092,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1095,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1088,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1087,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1086,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1072,0.077082,62.5,GREEN
20,org.apache.commons.csv.CSVFormat,1105,0.077082,62.5,GREEN
21,org.apache.commons.csv.CSVPrinter,73,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVPrinter,66,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVPrinter,62,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVPrinter,63,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVPrinter,60,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVPrinter,76,0.075378,65.6,GREEN
21,org.apache.commons.csv.CSVFormat,793,0.075378,65.6,GREEN
22,org.apache.commons.csv.CSVPrinter,59,0.074954,68.8,GREEN
23,org.apache.commons.csv.CSVFormat,882,0.074841,71.9,GREEN
24,org.apache.commons.csv.CSVPrinter,40,0.074330,75.0,GREEN
24,org.apache.commons.csv.CSVPrinter,58,0.074330,75.0,GREEN
25,org.apache.commons.csv.CSVFormat,959,0.073911,78.1,GREEN
26,org.apache.commons.csv.CSVFormat,891,0.061303,81.3,GREEN
27,org.apache.commons.csv.CSVFormat,784,0.059347,84.4,GREEN
28,org.apache.commons.csv.Assertions,37,0.058948,87.5,GREEN
29,org.apache.commons.csv.CSVFormat,845,0.058893,90.6,GREEN
30,org.apache.commons.csv.CSVFormat,766,0.056312,93.8,GREEN
31,org.apache.commons.csv.Assertions,34,0.055834,96.9,GREEN
32,org.apache.commons.csv.CSVPrinter,349,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,348,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,680,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,682,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,681,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,688,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,446,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,687,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,445,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,448,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,689,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,447,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,684,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,444,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,685,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1975,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,449,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1730,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,117,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,115,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,114,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,355,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,671,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,670,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,677,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,678,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,673,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,675,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,674,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,353,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1960,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,351,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,350,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVRecord,273,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVParser,505,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,125,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,660,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,666,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,668,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1756,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,667,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,662,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,663,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1513,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,139,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,138,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,137,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVRecord,267,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVRecord,269,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,413,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,412,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,657,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,656,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,414,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,651,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,650,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,411,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,652,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,410,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,659,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1743,0.000000,100.0,GREEN
32,org.apache.commons.csv.Constants,23,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,81,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,82,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,89,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,87,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,85,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1935,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,644,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,643,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,646,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,645,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,640,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,642,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,641,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,409,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,648,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,647,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,408,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,649,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,407,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,95,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,92,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,93,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,90,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,91,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,96,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,633,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,1922,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,635,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,634,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,872,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,637,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,636,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVParser,522,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,639,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVFormat,638,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,328,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,327,0.000000,100.0,GREEN
32,org.apache.commons.csv.ExtendedBufferedReader,62,0.000000,100.0,GREEN
32,org.apache.commons.csv.CSVPrinter,326,0.000000,100.0,GREEN
