Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.google.gson.JsonObject,101,0.586739,2.4,RED
1,com.google.gson.JsonObject,102,0.586739,2.4,RED
2,com.google.gson.internal.LinkedTreeMap,382,0.558035,4.9,RED
3,com.google.gson.internal.LinkedTreeMap,326,0.431290,7.3,RED
4,com.google.gson.internal.bind.JsonTreeReader,126,0.414037,9.8,RED
5,com.google.gson.internal.LinkedTreeMap,295,0.347478,12.2,RED
5,com.google.gson.internal.LinkedTreeMap,296,0.347478,12.2,RED
6,com.google.gson.internal.LinkedTreeMap,319,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,332,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,333,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,320,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,321,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,322,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,324,0.344072,14.6,ORANGE
6,com.google.gson.internal.LinkedTreeMap,325,0.344072,14.6,ORANGE
7,com.google.gson.internal.bind.JsonTreeReader,155,0.326014,17.1,ORANGE
7,com.google.gson.internal.bind.JsonTreeReader,154,0.326014,17.1,ORANGE
7,com.google.gson.internal.bind.JsonTreeReader,156,0.326014,17.1,ORANGE
8,com.google.gson.JsonArray,86,0.316228,19.5,ORANGE
8,com.google.gson.JsonArray,85,0.316228,19.5,ORANGE
8,com.google.gson.JsonArray,68,0.316228,19.5,ORANGE
8,com.google.gson.JsonArray,67,0.316228,19.5,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,150,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,125,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,111,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,112,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,63,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,62,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,107,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,67,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,66,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,68,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,52,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,51,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,292,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,291,0.314952,22.0,ORANGE
9,com.google.gson.internal.bind.JsonTreeReader,280,0.314952,22.0,ORANGE
10,com.google.gson.internal.LinkedTreeMap,292,0.311858,24.4,ORANGE
11,com.google.gson.internal.LinkedTreeMap,392,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,393,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,394,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,395,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,396,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,380,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,381,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,385,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,388,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,389,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,374,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,375,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,376,0.283445,26.8,ORANGE
11,com.google.gson.internal.LinkedTreeMap,377,0.283445,26.8,ORANGE
12,com.google.gson.JsonObject,91,0.281509,29.3,YELLOW
12,com.google.gson.JsonObject,90,0.281509,29.3,YELLOW
13,com.google.gson.JsonPrimitive,76,0.277908,31.7,YELLOW
13,com.google.gson.JsonPrimitive,75,0.277908,31.7,YELLOW
13,com.google.gson.JsonPrimitive,74,0.277908,31.7,YELLOW
14,com.google.gson.JsonPrimitive,99,0.268295,34.1,YELLOW
14,com.google.gson.JsonPrimitive,98,0.268295,34.1,YELLOW
14,com.google.gson.JsonPrimitive,97,0.268295,34.1,YELLOW
15,com.google.gson.internal.LinkedTreeMap,288,0.237259,36.6,YELLOW
16,com.google.gson.internal.LinkedTreeMap,301,0.231882,39.0,YELLOW
16,com.google.gson.internal.LinkedTreeMap,299,0.231882,39.0,YELLOW
16,com.google.gson.internal.LinkedTreeMap,285,0.231882,39.0,YELLOW
16,com.google.gson.internal.LinkedTreeMap,286,0.231882,39.0,YELLOW
16,com.google.gson.internal.LinkedTreeMap,287,0.231882,39.0,YELLOW
16,com.google.gson.internal.LinkedTreeMap,291,0.231882,39.0,YELLOW
17,com.google.gson.JsonPrimitive,279,0.231047,41.5,YELLOW
17,com.google.gson.JsonPrimitive,278,0.231047,41.5,YELLOW
17,com.google.gson.JsonPrimitive,280,0.231047,41.5,YELLOW
17,com.google.gson.JsonPrimitive,281,0.231047,41.5,YELLOW
18,com.google.gson.JsonObject,32,0.227153,43.9,YELLOW
18,com.google.gson.JsonObject,33,0.227153,43.9,YELLOW
19,com.google.gson.JsonObject,80,0.222303,46.3,YELLOW
19,com.google.gson.JsonObject,79,0.222303,46.3,YELLOW
20,com.google.gson.JsonObject,122,0.201198,48.8,YELLOW
20,com.google.gson.JsonPrimitive,86,0.201198,48.8,YELLOW
20,com.google.gson.JsonPrimitive,85,0.201198,48.8,YELLOW
20,com.google.gson.JsonPrimitive,84,0.201198,48.8,YELLOW
21,com.google.gson.internal.LinkedTreeMap,49,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,48,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,52,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,61,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,60,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,73,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,72,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,71,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,75,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap,74,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap$Node,451,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap$Node,450,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap$Node,453,0.199057,51.2,YELLOW
21,com.google.gson.internal.LinkedTreeMap$Node,452,0.199057,51.2,YELLOW
22,com.google.gson.internal.LinkedTreeMap,150,0.180828,53.7,GREEN
22,com.google.gson.internal.LinkedTreeMap,149,0.180828,53.7,GREEN
23,com.google.gson.internal.LinkedTreeMap,173,0.163082,56.1,GREEN
24,com.google.gson.JsonElement,33,0.143620,58.5,GREEN
25,com.google.gson.internal.LinkedTreeMap,312,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,313,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,314,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,315,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,317,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,318,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,354,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,336,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,361,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,362,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,363,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,175,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,169,0.138708,61.0,GREEN
25,com.google.gson.internal.LinkedTreeMap,170,0.138708,61.0,GREEN
26,com.google.gson.internal.LinkedTreeMap,311,0.137610,63.4,GREEN
26,com.google.gson.internal.LinkedTreeMap,368,0.137610,63.4,GREEN
27,com.google.gson.internal.LinkedTreeMap,144,0.137537,65.9,GREEN
27,com.google.gson.internal.LinkedTreeMap,145,0.137537,65.9,GREEN
27,com.google.gson.internal.LinkedTreeMap,146,0.137537,65.9,GREEN
28,com.google.gson.JsonArray,40,0.124168,68.3,GREEN
28,com.google.gson.JsonArray,41,0.124168,68.3,GREEN
28,com.google.gson.JsonArray,39,0.124168,68.3,GREEN
29,com.google.gson.JsonObject,54,0.118454,70.7,GREEN
29,com.google.gson.JsonObject,57,0.118454,70.7,GREEN
29,com.google.gson.JsonObject,58,0.118454,70.7,GREEN
30,com.google.gson.internal.LinkedTreeMap,130,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,131,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,134,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,135,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,136,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,139,0.114761,73.2,GREEN
30,com.google.gson.internal.LinkedTreeMap,129,0.114761,73.2,GREEN
31,com.google.gson.internal.LinkedTreeMap,95,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,94,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,91,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,97,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,96,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,462,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,461,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,464,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,463,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,460,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,459,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,458,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,457,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap$Node,456,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,177,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,178,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,180,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,166,0.104160,75.6,GREEN
31,com.google.gson.internal.LinkedTreeMap,167,0.104160,75.6,GREEN
32,com.google.gson.internal.LinkedTreeMap,154,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,159,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,122,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,123,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,124,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,126,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,161,0.103599,78.0,GREEN
32,com.google.gson.internal.LinkedTreeMap,163,0.103599,78.0,GREEN
33,com.google.gson.stream.JsonReader,293,0.098601,80.5,GREEN
33,com.google.gson.stream.JsonReader,294,0.098601,80.5,GREEN
34,com.google.gson.stream.JsonReader,272,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,270,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,269,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,240,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,242,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,243,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,245,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,290,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,283,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,284,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,289,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,238,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,239,0.098482,82.9,GREEN
34,com.google.gson.stream.JsonReader,230,0.098482,82.9,GREEN
35,com.google.gson.JsonPrimitive,66,0.093837,85.4,GREEN
35,com.google.gson.JsonPrimitive,65,0.093837,85.4,GREEN
35,com.google.gson.JsonPrimitive,64,0.093837,85.4,GREEN
36,com.google.gson.JsonPrimitive,275,0.090762,87.8,GREEN
37,com.google.gson.JsonPrimitive,274,0.087856,90.2,GREEN
38,com.google.gson.JsonPrimitive,101,0.078269,92.7,GREEN
38,com.google.gson.JsonPrimitive,102,0.078269,92.7,GREEN
38,com.google.gson.JsonPrimitive,100,0.078269,92.7,GREEN
39,com.google.gson.JsonPrimitive,104,0.078043,95.1,GREEN
39,com.google.gson.JsonPrimitive,94,0.078043,95.1,GREEN
40,com.google.gson.internal.$Gson$Preconditions,45,0.056614,97.6,GREEN
40,com.google.gson.internal.$Gson$Preconditions,48,0.056614,97.6,GREEN
41,com.google.gson.stream.JsonWriter,527,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters$27,625,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,1335,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonWriter,528,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters$27,624,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,1336,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters,575,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,1337,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters$27,622,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,1338,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonWriter,523,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters,577,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters$27,621,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonWriter,524,0.000000,100.0,GREEN
41,com.google.gson.internal.bind.TypeAdapters$27,620,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,394,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,395,0.000000,100.0,GREEN
41,com.google.gson.stream.JsonReader,396,0.000000,100.0,GREEN
