Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.fasterxml.jackson.core.util.DefaultIndenter,75,0.577350,1.1,RED
1,com.fasterxml.jackson.core.util.DefaultIndenter,72,0.577350,1.1,RED
2,com.fasterxml.jackson.core.util.DefaultIndenter,100,0.476983,2.2,RED
2,com.fasterxml.jackson.core.util.DefaultIndenter,43,0.476983,2.2,RED
2,com.fasterxml.jackson.core.util.DefaultIndenter,42,0.476983,2.2,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1039,0.467042,3.3,RED
4,com.fasterxml.jackson.core.json.JsonWriteContext,171,0.461223,4.3,RED
4,com.fasterxml.jackson.core.json.JsonWriteContext,170,0.461223,4.3,RED
4,com.fasterxml.jackson.core.json.JsonWriteContext,169,0.461223,4.3,RED
5,com.fasterxml.jackson.core.json.JsonWriteContext,131,0.444724,5.4,RED
5,com.fasterxml.jackson.core.json.JsonWriteContext,130,0.444724,5.4,RED
6,com.fasterxml.jackson.core.json.JsonWriteContext,128,0.433687,6.5,RED
6,com.fasterxml.jackson.core.json.JsonWriteContext,129,0.433687,6.5,RED
7,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1042,0.426392,7.6,RED
7,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1038,0.426392,7.6,RED
7,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1037,0.426392,7.6,RED
7,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1036,0.426392,7.6,RED
8,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,833,0.414417,8.7,RED
8,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,834,0.414417,8.7,RED
8,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,835,0.414417,8.7,RED
8,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,836,0.414417,8.7,RED
8,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,839,0.414417,8.7,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,330,0.364722,9.8,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,331,0.364722,9.8,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,333,0.364722,9.8,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,336,0.364722,9.8,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,337,0.364722,9.8,RED
9,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,327,0.364722,9.8,RED
10,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,322,0.358237,10.9,RED
10,com.fasterxml.jackson.core.json.WriterBasedJsonGenerator,323,0.358237,10.9,RED
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,122,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,181,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,184,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,186,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,185,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,178,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,134,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,131,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,130,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,133,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,123,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,128,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,127,0.342161,12.0,ORANGE
11,com.fasterxml.jackson.core.util.DefaultPrettyPrinter,129,0.342161,12.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultPrettyPrinter$NopIndenter,376,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,56,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,54,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,55,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,52,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,53,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,50,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,59,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,60,0.322742,13.0,ORANGE
12,com.fasterxml.jackson.core.util.DefaultIndenter,49,0.322742,13.0,ORANGE
13,com.fasterxml.jackson.core.json.JsonWriteContext,175,0.321603,14.1,ORANGE
13,com.fasterxml.jackson.core.json.JsonWriteContext,183,0.321603,14.1,ORANGE
13,com.fasterxml.jackson.core.json.JsonWriteContext,184,0.321603,14.1,ORANGE
13,com.fasterxml.jackson.core.json.JsonWriteContext,168,0.321603,14.1,ORANGE
14,com.fasterxml.jackson.core.JsonGenerator,249,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,115,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,134,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,98,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,97,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,96,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,95,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,94,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,93,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,92,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,91,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,41,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,40,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,36,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,39,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,38,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.base.GeneratorBase,37,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,95,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,96,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,97,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,84,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,53,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,75,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,74,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,71,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,70,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,73,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,72,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonWriteContext,38,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.json.JsonGeneratorImpl,100,0.318951,15.2,ORANGE
14,com.fasterxml.jackson.core.JsonGenerator$Feature,225,0.318951,15.2,ORANGE
15,com.fasterxml.jackson.core.io.IOContext,193,0.317380,16.3,ORANGE
15,com.fasterxml.jackson.core.io.IOContext,194,0.317380,16.3,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,437,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,433,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,431,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,448,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,449,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,445,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,440,0.316398,17.4,ORANGE
16,com.fasterxml.jackson.core.json.UTF8JsonGenerator,441,0.316398,17.4,ORANGE
