Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.fasterxml.jackson.databind.JsonMappingException,144,0.422660,0.1,RED
2,com.fasterxml.jackson.databind.JsonMappingException$Reference,80,0.412976,0.1,RED
2,com.fasterxml.jackson.databind.JsonMappingException$Reference,79,0.412976,0.1,RED
2,com.fasterxml.jackson.databind.JsonMappingException$Reference,75,0.412976,0.1,RED
2,com.fasterxml.jackson.databind.JsonMappingException$Reference,74,0.412976,0.1,RED
2,com.fasterxml.jackson.databind.JsonMappingException$Reference,76,0.412976,0.1,RED
3,com.fasterxml.jackson.databind.JsonMappingException,271,0.405901,0.2,RED
3,com.fasterxml.jackson.databind.JsonMappingException,270,0.405901,0.2,RED
3,com.fasterxml.jackson.databind.JsonMappingException,277,0.405901,0.2,RED
3,com.fasterxml.jackson.databind.JsonMappingException,278,0.405901,0.2,RED
3,com.fasterxml.jackson.databind.JsonMappingException,280,0.405901,0.2,RED
3,com.fasterxml.jackson.databind.JsonMappingException$Reference,65,0.405901,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1454,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1453,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1451,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1462,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1428,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1448,0.330671,0.2,RED
4,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1444,0.330671,0.2,RED
5,com.fasterxml.jackson.databind.JsonMappingException,177,0.314174,0.3,RED
6,com.fasterxml.jackson.databind.JsonMappingException,148,0.310277,0.3,RED
7,com.fasterxml.jackson.databind.JsonMappingException,213,0.306565,0.4,RED
7,com.fasterxml.jackson.databind.JsonMappingException,212,0.306565,0.4,RED
7,com.fasterxml.jackson.databind.JsonMappingException,200,0.306565,0.4,RED
7,com.fasterxml.jackson.databind.JsonMappingException,201,0.306565,0.4,RED
8,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1071,0.303743,0.5,RED
8,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1067,0.303743,0.5,RED
9,com.fasterxml.jackson.databind.type.SimpleType,166,0.300485,0.5,RED
10,com.fasterxml.jackson.databind.deser.BeanDeserializer,239,0.296474,0.6,RED
11,com.fasterxml.jackson.databind.DatabindContext,61,0.291097,0.6,RED
12,com.fasterxml.jackson.databind.introspect.BasicBeanDescription,177,0.288864,0.7,RED
13,com.fasterxml.jackson.databind.util.ClassUtil,146,0.288363,0.8,RED
13,com.fasterxml.jackson.databind.util.ClassUtil,147,0.288363,0.8,RED
13,com.fasterxml.jackson.databind.util.ClassUtil,144,0.288363,0.8,RED
13,com.fasterxml.jackson.databind.util.ClassUtil,151,0.288363,0.8,RED
14,com.fasterxml.jackson.databind.util.ClassUtil,78,0.287827,0.8,RED
14,com.fasterxml.jackson.databind.util.ClassUtil,73,0.287827,0.8,RED
15,com.fasterxml.jackson.databind.util.ClassUtil,70,0.287658,0.9,RED
15,com.fasterxml.jackson.databind.util.ClassUtil,67,0.287658,0.9,RED
15,com.fasterxml.jackson.databind.util.ClassUtil,64,0.287658,0.9,RED
16,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,140,0.286958,0.9,RED
17,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,116,0.285347,1.0,RED
17,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,133,0.285347,1.0,RED
18,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,128,0.285202,1.0,RED
19,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,108,0.284918,1.1,RED
19,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,107,0.284918,1.1,RED
19,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,112,0.284918,1.1,RED
19,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,122,0.284918,1.1,RED
19,com.fasterxml.jackson.databind.ext.OptionalHandlerFactory,121,0.284918,1.1,RED
