Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.jsoup.nodes.TextNode,72,0.662438,1.5,RED
2,org.jsoup.nodes.Node,295,0.533468,3.1,RED
3,org.jsoup.nodes.Element,289,0.427522,4.6,RED
3,org.jsoup.nodes.Element,288,0.427522,4.6,RED
3,org.jsoup.nodes.Element,292,0.427522,4.6,RED
3,org.jsoup.nodes.Element,291,0.427522,4.6,RED
3,org.jsoup.nodes.Element,294,0.427522,4.6,RED
3,org.jsoup.nodes.Element,290,0.427522,4.6,RED
3,org.jsoup.nodes.Element,285,0.427522,4.6,RED
3,org.jsoup.nodes.Element,287,0.427522,4.6,RED
4,org.jsoup.nodes.TextNode,68,0.420728,6.2,RED
5,org.jsoup.nodes.Element,775,0.416514,7.7,RED
6,org.jsoup.nodes.TextNode,74,0.409674,9.2,RED
6,org.jsoup.nodes.TextNode,71,0.409674,9.2,RED
6,org.jsoup.nodes.TextNode,73,0.409674,9.2,RED
6,org.jsoup.nodes.TextNode,66,0.409674,9.2,RED
6,org.jsoup.nodes.TextNode,67,0.409674,9.2,RED
7,org.jsoup.nodes.Node,332,0.406951,10.8,RED
7,org.jsoup.nodes.Node,331,0.406951,10.8,RED
7,org.jsoup.nodes.Node,249,0.406951,10.8,RED
7,org.jsoup.nodes.Node,247,0.406951,10.8,RED
7,org.jsoup.nodes.Node,246,0.406951,10.8,RED
8,org.jsoup.nodes.Element,799,0.398050,12.3,ORANGE
8,org.jsoup.nodes.Element,801,0.398050,12.3,ORANGE
8,org.jsoup.nodes.Element,800,0.398050,12.3,ORANGE
9,org.jsoup.nodes.Element,787,0.395249,13.8,ORANGE
9,org.jsoup.nodes.Element,784,0.395249,13.8,ORANGE
9,org.jsoup.nodes.Element,786,0.395249,13.8,ORANGE
9,org.jsoup.nodes.Element,785,0.395249,13.8,ORANGE
10,org.jsoup.nodes.Element,777,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,776,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,779,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,778,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,774,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,781,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,789,0.388059,15.4,ORANGE
10,org.jsoup.parser.Tag,116,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Element,806,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Attributes,109,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Attributes,114,0.388059,15.4,ORANGE
10,org.jsoup.nodes.Attributes,110,0.388059,15.4,ORANGE
11,org.jsoup.nodes.Element,268,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,274,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,273,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,275,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,270,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,272,0.385483,16.9,ORANGE
11,org.jsoup.nodes.Element,271,0.385483,16.9,ORANGE
12,org.jsoup.nodes.Element,807,0.385122,18.5,ORANGE
12,org.jsoup.nodes.Element,805,0.385122,18.5,ORANGE
