Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.apache.commons.lang3.time.DateUtils,646,0.674200,12.5,RED
1,org.apache.commons.lang3.time.DateUtils,651,0.674200,12.5,RED
1,org.apache.commons.lang3.time.DateUtils,650,0.674200,12.5,RED
1,org.apache.commons.lang3.time.DateUtils,654,0.674200,12.5,RED
1,org.apache.commons.lang3.time.DateUtils,653,0.674200,12.5,RED
1,org.apache.commons.lang3.time.DateUtils,652,0.674200,12.5,RED
2,org.apache.commons.lang3.time.DateUtils,523,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.time.DateUtils,522,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.time.DateUtils,521,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.time.DateUtils,520,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.time.DateUtils,517,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,217,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,216,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,215,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,219,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,218,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,212,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,220,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,224,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,223,0.426401,25.0,ORANGE
2,org.apache.commons.lang3.reflect.FieldUtils,222,0.426401,25.0,ORANGE
3,org.apache.commons.lang3.time.DateUtils,418,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,538,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,502,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,568,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,584,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,553,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.time.DateUtils,614,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.reflect.FieldUtils,199,0.301511,37.5,YELLOW
3,org.apache.commons.lang3.reflect.FieldUtils,200,0.301511,37.5,YELLOW
4,org.apache.commons.lang3.math.NumberUtils,463,0.220365,50.0,YELLOW
4,org.apache.commons.lang3.math.NumberUtils,462,0.220365,50.0,YELLOW
4,org.apache.commons.lang3.math.NumberUtils,471,0.220365,50.0,YELLOW
