FullyQualifiedClass,LineNumber,Rank,Score
org.example.Class35,35,1,1.0
org.example.TargetClass,2,2,0.9997577519379846
org.example.TargetClass,3,3,0.999515503875969
org.example.TargetClass,4,4,0.9992732558139535
org.example.TargetClass,5,5,0.999031007751938
org.example.TargetClass,6,6,0.9987887596899225
org.example.TargetClass,7,7,0.998546511627907
org.example.TargetClass,8,8,0.9983042635658915
org.example.TargetClass,9,9,0.998062015503876
org.example.TargetClass,10,10,0.9978197674418605
org.example.TargetClass,11,11,0.997577519379845
org.example.TargetClass,12,12,0.9973352713178295
org.example.TargetClass,13,13,0.997093023255814
org.example.TargetClass,14,14,0.9968507751937985
org.example.TargetClass,15,15,0.9966085271317829
org.example.TargetClass,16,16,0.9963662790697675
org.example.TargetClass,17,17,0.9961240310077519
org.example.TargetClass,18,18,0.9958817829457365
org.example.TargetClass,19,19,0.9956395348837209
org.example.TargetClass,20,20,0.9953972868217055
org.example.TargetClass,21,21,0.9951550387596899
org.example.TargetClass,22,22,0.9949127906976745
org.example.TargetClass,23,23,0.9946705426356589
org.example.TargetClass,24,24,0.9944282945736435
org.example.TargetClass,25,25,0.9941860465116279
org.example.TargetClass,26,26,0.9939437984496124
org.example.TargetClass,27,27,0.9937015503875969
org.example.TargetClass,28,28,0.9934593023255814
org.example.TargetClass,29,29,0.9932170542635659
org.example.TargetClass,30,30,0.9929748062015504
org.example.TargetClass,31,31,0.9927325581395349
org.example.TargetClass,32,32,0.9924903100775194
org.example.TargetClass,33,33,0.9922480620155039
org.example.TargetClass,34,34,0.9920058139534884
org.example.TargetClass,35,35,0.9917635658914729
org.example.TargetClass,36,36,0.9915213178294574
org.example.TargetClass,37,37,0.9912790697674418
org.example.TargetClass,38,38,0.9910368217054264
org.example.TargetClass,39,39,0.9907945736434108
org.example.TargetClass,40,40,0.9905523255813954
org.example.TargetClass,41,41,0.9903100775193798
org.example.TargetClass,42,42,0.9900678294573644
org.example.TargetClass,43,43,0.9898255813953488
org.example.TargetClass,44,44,0.9895833333333334
org.example.TargetClass,45,45,0.9893410852713178
org.example.TargetClass,46,46,0.9890988372093024
org.example.TargetClass,47,47,0.9888565891472868
org.example.TargetClass,48,48,0.9886143410852714
org.example.TargetClass,49,49,0.9883720930232558
org.example.TargetClass,50,50,0.9881298449612403
org.example.TargetClass,51,51,0.9878875968992248
org.example.TargetClass,52,52,0.9876453488372093
org.example.TargetClass,53,53,0.9874031007751938
org.example.TargetClass,54,54,0.9871608527131783
org.example.TargetClass,55,55,0.9869186046511628
org.example.TargetClass,56,56,0.9866763565891473
org.example.TargetClass,57,57,0.9864341085271318
org.example.TargetClass,58,58,0.9861918604651163
org.example.TargetClass,59,59,0.9859496124031008
org.example.TargetClass,60,60,0.9857073643410853
org.example.TargetClass,61,61,0.9854651162790697
