Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.apache.commons.cli.HelpFormatter,836,1.000000,2.8,RED
2,org.apache.commons.cli.HelpFormatter,477,0.707107,5.6,RED
2,org.apache.commons.cli.HelpFormatter,640,0.707107,5.6,RED
2,org.apache.commons.cli.HelpFormatter,643,0.707107,5.6,RED
2,org.apache.commons.cli.HelpFormatter,642,0.707107,5.6,RED
3,org.apache.commons.cli.HelpFormatter,416,0.632456,8.3,RED
3,org.apache.commons.cli.HelpFormatter,840,0.632456,8.3,RED
3,org.apache.commons.cli.HelpFormatter,839,0.632456,8.3,RED
3,org.apache.commons.cli.HelpFormatter,834,0.632456,8.3,RED
4,org.apache.commons.cli.HelpFormatter,742,0.534522,11.1,RED
5,org.apache.commons.cli.HelpFormatter,660,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,480,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,471,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,828,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,826,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,825,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,820,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,824,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,816,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,880,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,886,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,884,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,873,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,877,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,145,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,144,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,780,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,776,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,774,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,778,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,760,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,769,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,767,0.500000,13.9,ORANGE
5,org.apache.commons.cli.HelpFormatter,766,0.500000,13.9,ORANGE
