Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.apache.commons.csv.CSVRecord,84,0.377964,25.0,RED
2,org.apache.commons.csv.CSVRecord,80,0.353553,50.0,ORANGE
3,org.apache.commons.csv.CSVRecord,52,0.147442,75.0,YELLOW
3,org.apache.commons.csv.CSVRecord,53,0.147442,75.0,YELLOW
3,org.apache.commons.csv.CSVRecord,54,0.147442,75.0,YELLOW
3,org.apache.commons.csv.CSVRecord,50,0.147442,75.0,YELLOW
3,org.apache.commons.csv.CSVRecord,51,0.147442,75.0,YELLOW
3,org.apache.commons.csv.CSVRecord,49,0.147442,75.0,YELLOW
4,org.apache.commons.csv.CSVPrinter,349,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,348,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,105,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,347,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,104,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,224,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVLexer,58,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,102,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVLexer,55,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,222,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,101,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,440,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVLexer,124,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVLexer,127,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,446,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,445,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,448,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,441,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,444,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,323,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,221,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,94,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,93,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVFormat,449,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,119,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,239,0.000000,100.0,GREEN
4,org.apache.commons.csv.CSVPrinter,118,0.000000,100.0,GREEN
