Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.google.gson.stream.JsonReader$1,1608,0.436436,0.7,RED
1,com.google.gson.stream.JsonReader$1,1607,0.436436,0.7,RED
2,com.google.gson.stream.JsonReader,1193,0.408248,1.5,RED
2,com.google.gson.stream.JsonReader,1194,0.408248,1.5,RED
3,com.google.gson.internal.ConstructorConstructor$12,201,0.333333,2.2,RED
3,com.google.gson.stream.JsonReader,965,0.333333,2.2,RED
3,com.google.gson.stream.JsonReader,966,0.333333,2.2,RED
4,com.google.gson.internal.ConstructorConstructor$12,199,0.298142,3.0,RED
4,com.google.gson.internal.ConstructorConstructor,199,0.298142,3.0,RED
5,com.google.gson.stream.JsonReader,1182,0.288675,3.7,RED
5,com.google.gson.stream.JsonReader$1,1605,0.288675,3.7,RED
6,com.google.gson.stream.JsonReader,1179,0.240772,4.4,RED
7,com.google.gson.Gson,891,0.226455,5.2,RED
7,com.google.gson.Gson,892,0.226455,5.2,RED
8,com.google.gson.stream.JsonReader,1480,0.218218,5.9,RED
8,com.google.gson.stream.JsonReader,1481,0.218218,5.9,RED
8,com.google.gson.stream.JsonReader,954,0.218218,5.9,RED
9,com.google.gson.stream.JsonReader$1,1614,0.201008,6.7,RED
9,com.google.gson.stream.JsonReader$1,1600,0.201008,6.7,RED
9,com.google.gson.stream.JsonReader$1,1603,0.201008,6.7,RED
9,com.google.gson.stream.JsonReader$1,1599,0.201008,6.7,RED
10,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,185,0.198030,7.4,RED
10,com.google.gson.stream.JsonReader$1,1595,0.198030,7.4,RED
11,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,184,0.195180,8.1,RED
11,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,183,0.195180,8.1,RED
12,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,167,0.187317,8.9,RED
12,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,169,0.187317,8.9,RED
13,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,162,0.184900,9.6,RED
13,com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter,161,0.184900,9.6,RED
14,com.google.gson.stream.JsonReader,512,0.182574,10.4,RED
14,com.google.gson.stream.JsonReader,513,0.182574,10.4,RED
14,com.google.gson.stream.JsonReader,514,0.182574,10.4,RED
14,com.google.gson.stream.JsonReader,515,0.182574,10.4,RED
15,com.google.gson.stream.JsonReader,769,0.179605,11.1,ORANGE
16,com.google.gson.stream.JsonReader,1315,0.172345,11.9,ORANGE
