Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.fasterxml.jackson.core.util.JsonParserSequence,44,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,45,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,46,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,47,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,60,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,62,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,110,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,109,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,108,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,107,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,106,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,146,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,149,0.408248,0.9,RED
1,com.fasterxml.jackson.core.util.JsonParserSequence,150,0.408248,0.9,RED
2,com.fasterxml.jackson.core.util.JsonParserDelegate,177,0.333333,1.8,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1962,0.288675,2.7,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1960,0.288675,2.7,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1965,0.288675,2.7,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1964,0.288675,2.7,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1963,0.288675,2.7,RED
3,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1959,0.288675,2.7,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1954,0.258199,3.5,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1953,0.258199,3.5,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1972,0.258199,3.5,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1361,0.258199,3.5,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1355,0.258199,3.5,RED
4,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1359,0.258199,3.5,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1277,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1276,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1329,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1363,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1362,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1340,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1335,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1333,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1339,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1338,0.235702,4.4,RED
5,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1336,0.235702,4.4,RED
6,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1294,0.218218,5.3,RED
6,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1293,0.218218,5.3,RED
7,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1311,0.204124,6.2,RED
7,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1469,0.204124,6.2,RED
7,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1468,0.204124,6.2,RED
7,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1470,0.204124,6.2,RED
7,com.fasterxml.jackson.core.json.UTF8JsonGenerator,1274,0.204124,6.2,RED
8,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1655,0.174078,7.1,RED
8,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1652,0.174078,7.1,RED
8,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,1651,0.174078,7.1,RED
8,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,642,0.174078,7.1,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2095,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2094,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2093,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2092,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2079,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2078,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2083,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2080,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2076,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2116,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2115,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2107,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2106,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2105,0.154303,8.0,RED
9,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,2104,0.154303,8.0,RED
10,com.fasterxml.jackson.core.json.JsonWriteContext,197,0.152944,8.8,RED
10,com.fasterxml.jackson.core.json.JsonWriteContext,195,0.152944,8.8,RED
10,com.fasterxml.jackson.core.json.JsonWriteContext,196,0.152944,8.8,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,462,0.149071,9.7,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,461,0.149071,9.7,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,458,0.149071,9.7,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,457,0.149071,9.7,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,456,0.149071,9.7,RED
11,com.fasterxml.jackson.core.json.UTF8JsonGenerator,453,0.149071,9.7,RED
12,com.fasterxml.jackson.core.io.IOContext,188,0.147844,10.6,RED
12,com.fasterxml.jackson.core.io.IOContext,189,0.147844,10.6,RED
12,com.fasterxml.jackson.core.JsonFactory,886,0.147844,10.6,RED
12,com.fasterxml.jackson.core.JsonFactory,889,0.147844,10.6,RED
12,com.fasterxml.jackson.core.JsonFactory,888,0.147844,10.6,RED
12,com.fasterxml.jackson.core.JsonFactory,887,0.147844,10.6,RED
12,com.fasterxml.jackson.core.JsonFactory,405,0.147844,10.6,RED
13,com.fasterxml.jackson.core.JsonFactory,881,0.146647,11.5,ORANGE
13,com.fasterxml.jackson.core.JsonFactory,879,0.146647,11.5,ORANGE
14,com.fasterxml.jackson.core.JsonFactory,1301,0.145479,12.4,ORANGE
14,com.fasterxml.jackson.core.JsonFactory,1300,0.145479,12.4,ORANGE
14,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,121,0.145479,12.4,ORANGE
14,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,122,0.145479,12.4,ORANGE
14,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,120,0.145479,12.4,ORANGE
14,com.fasterxml.jackson.core.json.ReaderBasedJsonParser,125,0.145479,12.4,ORANGE
