Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,com.fasterxml.jackson.databind.jsontype.impl.ClassNameIdResolver,58,0.377964,0.1,RED
1,com.fasterxml.jackson.databind.jsontype.impl.ClassNameIdResolver,57,0.377964,0.1,RED
2,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1332,0.308607,0.2,RED
3,com.fasterxml.jackson.databind.JavaType,428,0.292770,0.4,RED
4,com.fasterxml.jackson.databind.JsonMappingException,197,0.290957,0.5,RED
5,com.fasterxml.jackson.databind.JsonMappingException,222,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.JsonMappingException,235,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.JsonMappingException,234,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1313,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1322,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1320,0.276026,0.6,RED
5,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1317,0.276026,0.6,RED
6,com.fasterxml.jackson.databind.JsonMappingException,164,0.272772,0.7,RED
7,com.fasterxml.jackson.databind.JsonMappingException$Reference,80,0.257172,0.9,RED
7,com.fasterxml.jackson.databind.JsonMappingException$Reference,79,0.257172,0.9,RED
7,com.fasterxml.jackson.databind.JsonMappingException$Reference,75,0.257172,0.9,RED
7,com.fasterxml.jackson.databind.JsonMappingException$Reference,74,0.257172,0.9,RED
7,com.fasterxml.jackson.databind.JsonMappingException$Reference,76,0.257172,0.9,RED
8,com.fasterxml.jackson.databind.DeserializationContext,720,0.251976,1.0,RED
8,com.fasterxml.jackson.databind.DeserializationContext,723,0.251976,1.0,RED
8,com.fasterxml.jackson.databind.DeserializationContext,575,0.251976,1.0,RED
8,com.fasterxml.jackson.databind.DeserializationContext,574,0.251976,1.0,RED
9,com.fasterxml.jackson.databind.JsonMappingException,299,0.250313,1.1,RED
9,com.fasterxml.jackson.databind.JsonMappingException,293,0.250313,1.1,RED
9,com.fasterxml.jackson.databind.JsonMappingException,292,0.250313,1.1,RED
9,com.fasterxml.jackson.databind.JsonMappingException,302,0.250313,1.1,RED
9,com.fasterxml.jackson.databind.JsonMappingException,300,0.250313,1.1,RED
9,com.fasterxml.jackson.databind.JsonMappingException$Reference,65,0.250313,1.1,RED
10,com.fasterxml.jackson.databind.JsonMappingException,154,0.239046,1.2,RED
10,com.fasterxml.jackson.databind.JsonMappingException,155,0.239046,1.2,RED
11,com.fasterxml.jackson.databind.deser.BeanDeserializer,296,0.231455,1.3,RED
12,com.fasterxml.jackson.databind.deser.impl.MethodProperty,115,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializer,797,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ser.std.BeanSerializerBase,652,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,1326,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.util.TokenBuffer,716,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.util.TokenBuffer,718,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerFactory,551,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerFactory,552,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase,121,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.TypeDeserializerBase,125,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializer,251,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.DeserializationContext,584,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler$ExtTypedProperty,300,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler$ExtTypedProperty,305,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler$ExtTypedProperty,304,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler$ExtTypedProperty,308,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.DeserializationContext,229,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer,352,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.BeanAsArrayDeserializer,351,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,141,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.AsArrayTypeDeserializer,142,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.JsonSerializer,73,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.std.StringDeserializer,46,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,128,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,127,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,129,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.util.TokenBuffer,476,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.TypeNameIdResolver,114,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.jsontype.impl.TypeNameIdResolver,113,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ObjectMapper,2120,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,484,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,487,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,495,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,491,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,493,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.SettableBeanProperty,492,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,643,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,644,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.std.StdDeserializer,356,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.std.StdDeserializer,360,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.ser.impl.UnwrappingBeanPropertyWriter,96,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler,187,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.impl.ExternalTypeHandler,190,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder,624,0.218218,1.5,RED
12,com.fasterxml.jackson.databind.deser.BeanDeserializerBase,961,0.218218,1.5,RED
