Rank,FullyQualifiedClass,Line,Score,Percentile,Band
1,org.jsoup.nodes.Entities,75,0.377964,14.3,RED
1,org.jsoup.nodes.Entities,74,0.377964,14.3,RED
1,org.jsoup.nodes.Entities,77,0.377964,14.3,RED
2,org.jsoup.nodes.Entities,88,0.353553,28.6,ORANGE
3,org.jsoup.nodes.Entities,80,0.258199,42.9,YELLOW
3,org.jsoup.nodes.Entities,81,0.258199,42.9,YELLOW
3,org.jsoup.nodes.Entities,79,0.258199,42.9,YELLOW
4,org.jsoup.nodes.Entities,71,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,70,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,72,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,90,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,84,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,86,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,85,0.250000,57.1,YELLOW
4,org.jsoup.nodes.Entities,87,0.250000,57.1,YELLOW
5,org.jsoup.nodes.Entities,69,0.235702,71.4,GREEN
5,org.jsoup.nodes.Entities,66,0.235702,71.4,GREEN
5,org.jsoup.nodes.Entities,65,0.235702,71.4,GREEN
5,org.jsoup.nodes.Entities,91,0.235702,71.4,GREEN
5,org.jsoup.nodes.Entities,92,0.235702,71.4,GREEN
6,org.jsoup.nodes.Entities,62,0.074536,85.7,GREEN
7,org.jsoup.Jsoup,181,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,602,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,944,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,945,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,946,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,947,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,940,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,941,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,942,0.000000,100.0,GREEN
7,org.jsoup.nodes.Attribute,85,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,943,0.000000,100.0,GREEN
7,org.jsoup.nodes.Document$OutputSettings,251,0.000000,100.0,GREEN
7,org.jsoup.nodes.Document$OutputSettings,250,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,948,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,949,0.000000,100.0,GREEN
7,org.jsoup.nodes.Document$OutputSettings,249,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,619,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,616,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,615,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,618,0.000000,100.0,GREEN
7,org.jsoup.nodes.Element,617,0.000000,100.0,GREEN
7,org.jsoup.Jsoup,193,0.000000,100.0,GREEN
7,org.jsoup.Jsoup,195,0.000000,100.0,GREEN
7,org.jsoup.Jsoup,194,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,933,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,934,0.000000,100.0,GREEN
7,org.jsoup.nodes.Entities,935,0.000000,100.0,GREEN
