FullyQualifiedClass,LineNumber,Rank,Score
org.example.TargetClass,1,1,1.0
org.example.TargetClass,2,2,0.9997967066476926
org.example.TargetClass,3,3,0.9995934132953852
org.example.TargetClass,4,4,0.9993901199430779
org.example.TargetClass,5,5,0.9991868265907705
org.example.TargetClass,6,6,0.9989835332384631
org.example.TargetClass,7,7,0.9987802398861557
org.example.TargetClass,8,8,0.9985769465338483
org.example.TargetClass,9,9,0.9983736531815409
org.example.TargetClass,10,10,0.9981703598292336
org.example.TargetClass,11,11,0.9979670664769262
org.example.TargetClass,12,12,0.9977637731246188
org.example.TargetClass,13,13,0.9975604797723114
org.example.TargetClass,14,14,0.997357186420004
org.example.TargetClass,15,15,0.9971538930676966
org.example.TargetClass,16,16,0.9969505997153894
org.example.TargetClass,17,17,0.996747306363082
org.example.TargetClass,18,18,0.9965440130107746
org.example.TargetClass,19,19,0.9963407196584672
org.example.TargetClass,20,20,0.9961374263061598
org.example.TargetClass,21,21,0.9959341329538524
org.example.TargetClass,22,22,0.9957308396015451
org.example.TargetClass,23,23,0.9955275462492377
org.example.TargetClass,24,24,0.9953242528969303
org.example.TargetClass,25,25,0.9951209595446229
org.example.TargetClass,26,26,0.9949176661923155
org.example.TargetClass,27,27,0.9947143728400081
org.example.TargetClass,28,28,0.9945110794877008
org.example.TargetClass,29,29,0.9943077861353934
org.example.TargetClass,30,30,0.994104492783086
org.example.TargetClass,31,31,0.9939011994307786
org.example.TargetClass,32,32,0.9936979060784712
org.example.TargetClass,33,33,0.9934946127261639
org.example.TargetClass,34,34,0.9932913193738565
org.example.TargetClass,35,35,0.9930880260215491
org.example.TargetClass,36,36,0.9928847326692417
org.example.TargetClass,37,37,0.9926814393169343
org.example.TargetClass,38,38,0.9924781459646269
org.example.TargetClass,39,39,0.9922748526123196
org.example.TargetClass,40,40,0.9920715592600122
org.example.TargetClass,41,41,0.9918682659077048
org.example.TargetClass,42,42,0.9916649725553974
org.example.TargetClass,43,43,0.99146167920309
org.example.TargetClass,44,44,0.9912583858507826
org.example.TargetClass,45,45,0.9910550924984753
org.example.TargetClass,46,46,0.9908517991461679
org.example.TargetClass,47,47,0.9906485057938605
org.example.TargetClass,48,48,0.9904452124415531
org.example.TargetClass,49,49,0.9902419190892457
org.example.TargetClass,50,50,0.9900386257369383
org.example.TargetClass,51,51,0.9898353323846311
org.example.TargetClass,52,52,0.9896320390323237
org.example.TargetClass,53,53,0.9894287456800163
org.example.TargetClass,54,54,0.9892254523277089
org.example.TargetClass,55,55,0.9890221589754015
org.example.TargetClass,56,56,0.9888188656230942
org.example.TargetClass,57,57,0.9886155722707868
org.example.TargetClass,58,58,0.9884122789184794
org.example.TargetClass,59,59,0.988208985566172
org.example.TargetClass,60,60,0.9880056922138646
org.example.TargetClass,61,61,0.9878023988615572
org.example.TargetClass,62,62,0.9875991055092499
org.example.TargetClass,63,63,0.9873958121569425
org.example.TargetClass,64,64,0.9871925188046351
org.example.TargetClass,65,65,0.9869892254523277
org.example.TargetClass,66,66,0.9867859321000203
org.example.TargetClass,67,67,0.9865826387477129
org.example.TargetClass,68,68,0.9863793453954056
org.example.TargetClass,69,69,0.9861760520430982
org.example.TargetClass,70,70,0.9859727586907908
org.example.TargetClass,71,71,0.9857694653384834
org.example.TargetClass,72,72,0.985566171986176
org.example.TargetClass,73,73,0.9853628786338686
org.example.TargetClass,74,74,0.9851595852815613
org.example.TargetClass,75,75,0.9849562919292539
org.example.TargetClass,76,76,0.9847529985769465
org.example.TargetClass,77,77,0.9845497052246391
org.example.TargetClass,78,78,0.9843464118723317
org.example.TargetClass,79,79,0.9841431185200245
org.example.TargetClass,80,80,0.983939825167717
org.example.TargetClass,81,81,0.9837365318154097
org.example.TargetClass,82,82,0.9835332384631023
org.example.TargetClass,83,83,0.9833299451107949
org.example.TargetClass,84,84,0.9831266517584875
org.example.TargetClass,85,85,0.9829233584061802
org.example.TargetClass,86,86,0.9827200650538728
org.example.TargetClass,87,87,0.9825167717015654
org.example.TargetClass,88,88,0.982313478349258
org.example.TargetClass,89,89,0.9821101849969506
org.example.TargetClass,90,90,0.9819068916446432
org.example.TargetClass,91,91,0.9817035982923359
org.example.TargetClass,92,92,0.9815003049400285
org.example.TargetClass,93,93,0.9812970115877211
org.example.TargetClass,94,94,0.9810937182354137
org.example.TargetClass,95,95,0.9808904248831063
org.example.TargetClass,96,96,0.9806871315307989
org.example.TargetClass,97,97,0.9804838381784916
org.example.TargetClass,98,98,0.9802805448261842
org.example.TargetClass,99,99,0.9800772514738768
org.example.TargetClass,100,100,0.9798739581215694
org.example.TargetClass,101,101,0.979670664769262
org.example.TargetClass,102,102,0.9794673714169546
org.example.TargetClass,103,103,0.9792640780646473
